English;Polish
moon;księżyc
home;dom
big;duży
clear;jasny
take, took, taken;brać
flower;kwiat
below;poniżej
mother;matka
lion;lew
meet, met, met;spotykać
wine;wino
wear, wore, worn;nosić
behind;za
cultural;kulturowy
interest;zainteresowanie
exactly;dokładnie
parent;rodzic
shut, shut, shut;zamykać
tell, told, told;mówić
yet;jeszcze
grass;trawa
listen;słuchać
religious;religijny
already;już
draw, drew, drawn;rysować
fall, fell, fallen;upadać
remember;pamiętać
there;tam
idea;pomysł
mind;umysł
together;razem
history;historia
water;woda
medical;medyczny
sit, sat, sat;siedzieć
hundred;sto
wrong;zły, błędny
open;otwierać
research;badania
sing, sang, sung;śpiewać
bring, brought, brought;przynosić
live;żyć
tree;drzewo
process;proces
field;pole
year;rok
think, thought, thought;myśleć
final;ostateczny
kiss;całować
head;głowa
boy;chłopiec
dark;ciemny
cry;płakać
she;ona
right;prawy, prawidłowy
smile;uśmiechać się
these;te
model;model
family;rodzina
day;dzień
apple;jabłko
matter;sprawa
room;pokój
traditional;tradycyjny
have, had, had;mieć
simple;prosty
give, gave, given;dawać
throw, threw, thrown;rzucać
part;część
nice;miły
include;zawierać
certain;pewny
hit, hit, hit;uderzać
me;mnie
rain;deszcz
promise;obiecywać
hot;gorący
decide;decydować
physical;fizyczny
kill;zabijać
more;więcej
my;mój
silver;srebrny
water;woda
it;to
life;życie
blow, blew, blown;wiać
cost, cost, cost;kosztować
hour;godzina
lot;dużo
game;gra
book;książka
moment;moment
begin, began, begun;zaczynać
let, let, let;pozwalać
keep, kept, kept;trzymać, zachować
own;własny
paper;papier
usually;zazwyczaj
wind;wiatr
six;sześć
hang, hung, hung;wisieć
explain;wyjaśniać
one;jeden
fly, flew, flown;latać
later;później
tear, tore, torn;rwać
new;nowy
around;dookoła
coffee;kawa
environmental;środowiskowy
say, said, said;mówić
bear;niedźwiedź
horse;koń
short;krótki
once;raz
us;nam
fine;w porządku
after;po
be, was/were, been;być
bad;zły
few;kilka
mountain;góra
other;inny
catch, caught, caught;łapać
free;darmowy, wolny
in;w
strong;silny
current;obecny
gray;szary
hand;dłoń
feel, felt, felt;czuć
boy;chłopak
man;mężczyzna
create;tworzyć
potato;ziemniak
week;tydzień
case;przypadek
side;strona
enjoy;cieszyć się
ready;gotowy
ring, rang, rung;dzwonić
sell, sold, sold;sprzedawać
back;plecy
drive, drove, driven;prowadzić (samochód)
snow;śnieg
even;nawet
significant;znaczący
onion;cebula
child;dziecko
force;siła
party;partia, przyjęcie
study;badanie
I;ja
policy;polityka
green;zielony
morning;ranek
music;muzyka
eleven;jedenaście
teacher;nauczyciel
old;stary
seven;siedem
break, broke, broken;łamać
community;społeczność
wait;czekać
nation;naród
voice;głos
drug;narkotyk, lek
teach, taught, taught;uczyć
garlic;czosnek
cold;zimny
invite;zapraszać
pay, paid, paid;płacić
orange;pomarańczowy
know, knew, known;wiedzieć, znać
financial;finansowy
bird;ptak
allow;pozwalać
record;rekord, nagranie
money;pieniądze
hide, hid, hidden;chować
build, built, built;budować
forget, forgot, forgotten;zapominać
yellow;żółty
others;inni
next;następny
war;wojna
various;różny
almost;prawie
student;uczeń, student
gold;złoty
information;informacja
banana;banan
time;czas
eat, ate, eaten;jeść
effort;wysiłek
dog;pies
house;dom (budynek)
number;numer, liczba
class;klasa
them;im
work;praca
star;gwiazda
door;drzwi
up;w górę
worry;martwić się
heart;serce
result;wynik
grow, grew, grown;rosnąć
sea;morze
river;rzeka
company;firma
experience;doświadczenie
market;rynek
month;miesiąc
much;dużo
elephant;słoń
use;użycie
government;rząd
write, wrote, written;pisać
probably;prawdopodobnie
effect;efekt
hurt, hurt, hurt;ranić
die;umierać
thousand;tysiąc
him;jemu
great;świetny
job;praca
play;grać
his;jego
step;krok
happy;szczęśliwy
role;rola
freeze, froze, frozen;zamarzać
right;prawo
ocean;ocean
story;historia, opowieść
show, showed, shown;pokazywać
stop;zatrzymywać się
poor;biedny
out;na zewnątrz
help;pomagać
question;pytanie
sometimes;czasami
very;bardzo
sky;niebo
nine;dziewięć
late;późny
small;mały
sense;sens
lose, lost, lost;gubić
their;ich
back;z powrotem
only;tylko
minute;minuta
model;model
last;ostatni
foot;stopa
dead;martwy
cow;krowa
ago;temu
program;program
power;siła, moc
mean, meant, meant;znaczyć
always;zawsze
past;miniony
different;inny, różny
look;patrzeć
sugar;cukier
to;do
fire;ogień
call;dzwonić
police;policja
car;samochód
butter;masło
come, came, come;przychodzić
point;punkt
area;obszar
jump;skakać
red;czerwony
woman;kobieta
city;miasto
pepper;pieprz
continue;kontynuować
sun;słońce
face;twarz
meat;mięso
natural;naturalny
main;główny
five;pięć
state;stan
often;często
name;imię, nazwa
rate;wskaźnik, tempo
they;oni
go, went, gone;iść
hear, heard, heard;słyszeć
that;tamten
act;działać
wake, woke, woken;budzić się
friend;przyjaciel
your;twój
development;rozwój
education;edukacja
become, became, become;stawać się
special;specjalny
as;jak
easy;łatwy
walk;spacerować
serious;poważny
however;jednakże
lend, lent, lent;pożyczać
country;kraj
like;lubić
see, saw, seen;widzieć
place;miejsce
ride, rode, ridden;jeździć
so;więc
perhaps;być może
age;wiek
team;drużyna
show;pokaz
speak, spoke, spoken;mówić
cat;kot
try;próbować
love;kochać
buy, bought, bought;kupować
legal;legalny
high;wysoki
able;zdolny
office;biuro
clearly;wyraźnie
service;usługa
large;duży
central;centralny
action;akcja
move;ruszać się
stand, stood, stood;stać
sure;pewny
art;sztuka
group;grupa
fact;fakt
those;tamte
hold, held, held;trzymać
hope;mieć nadzieję
you;ty
least;najmniej
pig;świnia
popular;popularny
light;światło
swim, swam, swum;pływać
read, read, read;czytać
work;pracować
long;długi
member;członek
issue;kwestia
common;powszechny
change;zmieniać
close;zamykać
put, put, put;kłaść
salt;sól
two;dwa
control;kontrola
good;dobry
business;biznes
choose, chose, chosen;wybierać
close;bliski
talk;rozmawiać
school;szkoła
leave, left, left;opuszczać
before;przed
learn;uczyć się
kid;dzieciak
above;powyżej
island;wyspa
agree;zgadzać się
thing;rzecz
general;ogólny
white;biały
understand, understood, understood;rozumieć
level;poziom
run, ran, run;biec
beat, beat, beaten;bić
blue;niebieski
find, found, found;znajdować
twelve;dwanaście
ask;pytać
believe;wierzyć
cut, cut, cut;ciąć
huge;ogromny
foreign;zagraniczny
cloud;chmura
sleep, slept, slept;spać
hard;trudny, twardy
law;prawo (ustawa)
juice;sok
just;po prostu
three;trzy
bill;rachunek
here;tutaj
down;w dół
young;młody
well;dobrze
laugh;śmiać się
spend, spent, spent;spędzać, wydawać
change;zmiana
recently;ostatnio
eight;osiem
this;ten
death;śmierć
tea;herbata
world;świat
tiger;tygrys
then;wtedy
he;on
our;nasz
twenty;dwadzieścia
accept;akceptować
way;droga, sposób
forgive, forgave, forgiven;wybaczać
mouse;mysz
bread;chleb
recent;niedawny
four;cztery
president;prezydent
system;system
make, made, made;robić
away;daleko
her;jej
also;także
fight, fought, fought;walczyć
open;otwarty
we;my
similar;podobny
health;zdrowie
answer;odpowiadać
fish;ryba
steal, stole, stolen;kraść
bite, bit, bitten;gryźć
important;ważny
early;wczesny
use;używać
today;dzisiaj
public;publiczny
how;jak
purple;fioletowy
pink;różowy
democratic;demokratyczny
send, sent, sent;wysyłać
nature;natura
get, got, got/gotten;dostawać
father;ojciec
end;koniec
kind;rodzaj
college;uczelnia
milk;mleko
wife;żona
body;ciało
happen;dziać się
word;słowo
add;dodawać
single;pojedynczy
win, won, won;wygrywać
appear;pojawiać się
little;mały
lake;jezioro
person;osoba
figure;figura, postać
reason;powód
problem;problem
cheese;ser
girl;dziewczyna
same;taki sam
now;teraz
private;prywatny
tomato;pomidor
drink, drank, drunk;pić
its;tego
never;nigdy
entire;cały
ten;dziesięć
black;czarny
first;pierwszy
brown;brązowy
eye;oko
left;lewy
quickly;szybko
plan;plan
beer;piwo
air;powietrze
want;chcieć
night;noc
line;linia
do, did, done;robić
earth;ziemia
follow;podążać
people;ludzie
still;wciąż
care;opieka
need;potrzebować
